"","provinsi","kota_kab","kecamatan","kode_pos","url","lat","lng"
"28","DKI Jakarta","Jakarta Selatan","Jagakarsa",12630,"https://www.google.com/maps/place/Kec.+Jagakarsa,+Kota+Jakarta+Selatan,+Daerah+Khusus+Ibukota+Jakarta/@-6.33033,106.7904438,13z/data=!3m1!4b1!4m6!3m5!1s0x2e69edd09765e7bb:0x7380be8b8ea8ad82!8m2!3d-6.3360601!4d106.8256645!16zL20vMGd6Z25s","106.7904438","-6.33033"
"29","DKI Jakarta","Jakarta Selatan","Pancoran",12760,"https://www.google.com/maps/place/Kec.+Pancoran,+Kota+Jakarta+Selatan,+Daerah+Khusus+Ibukota+Jakarta/@-6.2579046,106.8261319,14z/data=!3m1!4b1!4m6!3m5!1s0x2e69f24ace20c2a5:0xb9c91fb4bf136bdc!8m2!3d-6.2554837!4d106.8429756!16zL20vMGc5ejlt","106.8261319","-6.2579046"
"30","DKI Jakarta","Jakarta Selatan","Pancoran",12780,"https://www.google.com/maps/place/Kec.+Pancoran,+Kota+Jakarta+Selatan,+Daerah+Khusus+Ibukota+Jakarta/@-6.2579046,106.8261319,14z/data=!3m1!4b1!4m6!3m5!1s0x2e69f24ace20c2a5:0xb9c91fb4bf136bdc!8m2!3d-6.2554837!4d106.8429756!16zL20vMGc5ejlt","106.8261319","-6.2579046"
"31","DKI Jakarta","Jakarta Selatan","Tebet",12810,"https://www.google.com/maps/place/Kec.+Tebet,+Kota+Jakarta+Selatan,+Daerah+Khusus+Ibukota+Jakarta/@-6.22548,106.8332544,14z/data=!3m1!4b1!4m6!3m5!1s0x2e69f38fc90a7101:0xd575e31c807295f9!8m2!3d-6.2251223!4d106.8549881!16zL20vMGgzeTFi","106.8332544","-6.22548"
"32","DKI Jakarta","Jakarta Selatan","Setia Budi",12940,"https://www.google.com/maps/place/Kecamatan+Setiabudi,+Kota+Jakarta+Selatan,+Daerah+Khusus+Ibukota+Jakarta/@-6.221734,106.8128793,14z/data=!3m1!4b1!4m6!3m5!1s0x2e69f3f74e212e19:0x943edbdbb1621876!8m2!3d-6.2136327!4d106.8264328!16s%2Fg%2F11b_2jmxs5","106.8128793","-6.221734"
"33","DKI Jakarta","Jakarta Selatan","Setia Budi",12950,"https://www.google.com/maps/place/Kecamatan+Setiabudi,+Kota+Jakarta+Selatan,+Daerah+Khusus+Ibukota+Jakarta/@-6.221734,106.8128793,14z/data=!3m1!4b1!4m6!3m5!1s0x2e69f3f74e212e19:0x943edbdbb1621876!8m2!3d-6.2136327!4d106.8264328!16s%2Fg%2F11b_2jmxs5","106.8128793","-6.221734"
"34","DKI Jakarta","Jakarta Timur","Duren Sawit",13440,"https://www.google.com/maps/place/Kec.+Duren+Sawit,+Kota+Jakarta+Timur,+Daerah+Khusus+Ibukota+Jakarta/@-6.233937,106.8853498,13z/data=!3m1!4b1!4m6!3m5!1s0x2e698cb62f8a90af:0x34c52b197e740df5!8m2!3d-6.2296013!4d106.9191317!16s%2Fg%2F1q5bkq37l","106.8853498","-6.233937"
"35","DKI Jakarta","Jakarta Timur","Duren Sawit",13460,"https://www.google.com/maps/place/Kec.+Duren+Sawit,+Kota+Jakarta+Timur,+Daerah+Khusus+Ibukota+Jakarta/@-6.233937,106.8853498,13z/data=!3m1!4b1!4m6!3m5!1s0x2e698cb62f8a90af:0x34c52b197e740df5!8m2!3d-6.2296013!4d106.9191317!16s%2Fg%2F1q5bkq37l","106.8853498","-6.233937"
"36","DKI Jakarta","Jakarta Timur","Ciracas",13720,"https://www.google.com/maps/place/Kec.+Ciracas,+Kota+Jakarta+Timur,+Daerah+Khusus+Ibukota+Jakarta/@-6.32884,106.8439553,13z/data=!3m1!4b1!4m6!3m5!1s0x2e69ed1a921e2c25:0xcf305c4260592445!8m2!3d-6.3087517!4d106.8749344!16zL20vMGdjNzc4","106.8439553","-6.32884"
"37","DKI Jakarta","Jakarta Timur","Ciracas",13740,"https://www.google.com/maps/place/Kec.+Ciracas,+Kota+Jakarta+Timur,+Daerah+Khusus+Ibukota+Jakarta/@-6.32884,106.8439553,13z/data=!3m1!4b1!4m6!3m5!1s0x2e69ed1a921e2c25:0xcf305c4260592445!8m2!3d-6.3087517!4d106.8749344!16zL20vMGdjNzc4","106.8439553","-6.32884"
"38","DKI Jakarta","Jakarta Timur","Cipayung",13820,"https://www.google.com/maps/place/Kec.+Cipayung,+Kota+Jakarta+Timur,+Daerah+Khusus+Ibukota+Jakarta/@-6.3274725,106.8680483,13z/data=!3m1!4b1!4m6!3m5!1s0x2e69ed2fd3e7960d:0x452fb53366a5728d!8m2!3d-6.3153539!4d106.8928693!16zL20vMGdjNzY3","106.8680483","-6.3274725"
"39","Banten","Tangerang","Batuceper",15122,"https://www.google.com/maps/place/Kec.+Batuceper,+Kota+Tangerang,+Banten/@-6.1646294,106.6523463,14z/data=!3m1!4b1!4m6!3m5!1s0x2e69f8f38cfcfcc3:0x42aae3a439705517!8m2!3d-6.1634139!4d106.6813268!16s%2Fm%2F047qjdr","106.6523463","-6.1646294"
"40","Banten","Tangerang","Benda",15124,"https://www.google.com/maps/place/Kec.+Benda,+Kota+Tangerang,+Banten/@-6.125816,106.6301649,13z/data=!3m1!4b1!4m6!3m5!1s0x2e6a0265fac51205:0x145c3e2f5c10353!8m2!3d-6.1381805!4d106.6721132!16s%2Fm%2F047lsgp","106.6301649","-6.125816"
"41","Banten","Tangerang","Pinang (Penang)",15145,"https://www.google.com/maps/place/Pinang,+Kec.+Pinang,+Kota+Tangerang,+Banten/@-6.2159936,106.6795462,15z/data=!3m1!4b1!4m6!3m5!1s0x2e69f98f5773045f:0x8ee791877aa69bc8!8m2!3d-6.2152637!4d106.6895581!16s%2Fg%2F122ysnrn","106.6795462","-6.2159936"
"42","Banten","Tangerang","Kosambi",15211,"https://www.google.com/maps/place/Kec.+Kosambi,+Kabupaten+Tangerang,+Banten/@-6.079036,106.6466083,13z/data=!3m1!4b1!4m6!3m5!1s0x2e6a030b525310d3:0xeb4342339df4c294!8m2!3d-6.0922646!4d106.7085236!16s%2Fm%2F0q3zj77","106.6466083","-6.079036"
"43","Banten","Tangerang Selatan","Serpong",15310,"https://www.google.com/maps/place/Kec.+Serpong,+Kota+Tangerang+Selatan,+Banten/@-6.313842,106.6476854,13z/data=!3m1!4b1!4m6!3m5!1s0x2e69e52f562fd5cf:0x3f7153c82ee045c7!8m2!3d-6.2994321!4d106.6678223!16s%2Fg%2F122hcv81","106.6476854","-6.313842"
"44","Banten","Tangerang Selatan","Setu",15315,"https://www.google.com/maps/place/Kec.+Setu,+Kota+Tangerang+Selatan,+Banten/@-6.342205,106.6479354,13z/data=!3m1!4b1!4m6!3m5!1s0x2e69e507262cc14d:0x1628b892a62c4b3b!8m2!3d-6.3447976!4d106.6661295!16s%2Fg%2F1238516n","106.6479354","-6.342205"
"45","Banten","Tangerang Selatan","Serpong",15322,"https://www.google.com/maps/place/Kec.+Serpong,+Kota+Tangerang+Selatan,+Banten/@-6.313842,106.6476854,13z/data=!3m1!4b1!4m6!3m5!1s0x2e69e52f562fd5cf:0x3f7153c82ee045c7!8m2!3d-6.2994321!4d106.6678223!16s%2Fg%2F122hcv81","106.6476854","-6.313842"
"46","Banten","Tangerang Selatan","Serpong Utara",15325,"https://www.google.com/maps/place/Kec.+Serpong+Utara,+Kota+Tangerang+Selatan,+Banten/@-6.2570865,106.6304393,13z/data=!3m1!4b1!4m6!3m5!1s0x2e69fbaf43a37d3d:0x102e3d069de9f00!8m2!3d-6.2397846!4d106.6571587!16s%2Fg%2F120sdkd0","106.6304393","-6.2570865"
"47","Banten","Tangerang","Pagedangan",15331,"https://www.google.com/maps/place/Kec.+Pagedangan,+Kabupaten+Tangerang,+Banten/@-6.2970921,106.5807544,13z/data=!3m1!4b1!4m6!3m5!1s0x2e69fcb040eb313f:0xfa5746ee07698ca0!8m2!3d-6.2989555!4d106.613862!16s%2Fm%2F0q40hg7","106.5807544","-6.2970921"
