"provinsi","kota_kab","kecamatan","kode_pos"
NA,NA,NA,10410
NA,NA,NA,10570
NA,NA,NA,10630
NA,NA,NA,10950
NA,NA,NA,11470
NA,NA,NA,11730
NA,NA,NA,12140
NA,NA,NA,12160
NA,NA,NA,12510
NA,NA,NA,12730
NA,NA,NA,12750
NA,NA,NA,12910
NA,NA,NA,12930
NA,NA,NA,13920
NA,NA,NA,14350
NA,NA,NA,14410
NA,NA,NA,14460
NA,NA,NA,15411
NA,NA,NA,16127
NA,NA,NA,16404
NA,NA,NA,16415
NA,NA,NA,16952
NA,NA,NA,40264
NA,NA,NA,45621
NA,NA,NA,53145
NA,NA,NA,94760
