"","nama_customer","sales_order","kubikasi_pemenuhan_m3","berat_pemenuhan_kg","tanggal_order","tanggal_po_expired"
"726","GRAND LUCKY - SCBD","110407109",0.01716,2.34276,2022-12-05,2022-12-11
"727","GRAND LUCKY - SCBD","110407110",0.18501132,45.094063992,2022-12-05,2022-12-11
"728","GRAND LUCKY - SCBD","110407111",0.30607044,79.282944,2022-12-05,2022-12-11
"729","GRAND LUCKY - SCBD","110407112",0.26225142,131.62176,2022-12-05,2022-12-11
"730","LOTTE MART KUNINGAN CITY","110407088",0.03432,21.38796,2022-12-05,2022-12-08
"731","LOTTE MART KUNINGAN CITY","110407089",0.00948,7.40004,2022-12-05,2022-12-08
"732","LOTTE MART KUNINGAN CITY","110407090",0.03083616,4.999992,2022-12-05,2022-12-08
"733","LOTTE MART KUNINGAN CITY","110407091",0.03102,4.36998,2022-12-05,2022-12-08
"734","RANCH MARKET DISTRICT 8","110407107",0.052242,20.616,2022-12-05,1899-12-31
"735","GRAND LUCKY - SCBD","110407114",0.05136,6.46008,2022-12-05,2022-12-13
"736","FOODHALL DAILY SENAYAN RESIDENCE","110407078",0.01953,7.8312,2022-12-05,2022-12-12
"737","FOODHALL PLAZA SENAYAN","110407076",0.1284131,36.542553,2022-12-05,2022-12-12
"738","FOODHALL SENAYAN CITY","110407081",0.15599694,52.990369332,2022-12-05,2022-12-12
"739","FORTUNA SWALAYAN","110407113",0.34242282,102.301221774,2022-12-05,1899-12-31
"740","FARMERS MARKET L'AVENUE TEBET","110407051",0.01032,5.23536,2022-12-05,2022-12-07
"741","FARMERS FAMILY BLOK M PLAZA","110407053",0.039542,3.39552,2022-12-05,2022-12-08
"742","FARMERS MARKET ONE BELL PARK","110407099",0.01722996,3.890004,2022-12-05,2022-12-09
"743","HARI HARI FATMAWATI","110407105",0.09029388,30.147558,2022-12-05,2022-12-07
"744","HARI HARI FATMAWATI","110407106",0.17103072,30.590196,2022-12-05,2022-12-07
"745","LOTTE MART FATMAWATI","110407087",0.04661112,10.000008,2022-12-05,2022-12-08
"746","LOTTE MART FATMAWATI","110407096",0.0096,1.22004,2022-12-05,2022-12-08
"747","RANCH 99 DARMAWANGSA","110407054",0.03408,3.88992,2022-12-05,2022-12-10
"748","Reza Andriyanto","1849/PBI/QBL/XII/2022",NA,NA,NA,NA
"749","EXERTAINMENT INDONESIA-PLAZA INDONESIA","110407102",0.02376,16.06104,2022-12-05,2022-12-13
